,date,store_nbr,item_nbr,units,date1j
219562,2012-02-14,44,5,22,44
219619,2012-02-14,44,62,1,44
219625,2012-02-14,44,68,36,44
219651,2012-02-14,44,94,1,44
219677,2012-02-14,45,9,23,44
219694,2012-02-14,45,26,7,44
219788,2012-02-15,1,9,5,45
219807,2012-02-15,1,28,5,45
219872,2012-02-15,1,93,3,45
219895,2012-02-15,2,5,31,45
219901,2012-02-15,2,11,1,45
219934,2012-02-15,2,44,101,45
220006,2012-02-15,3,5,47,45
220046,2012-02-15,3,45,66,45
220121,2012-02-15,4,9,165,45
220139,2012-02-15,4,27,9,45
220202,2012-02-15,4,90,2,45
220239,2012-02-15,5,16,31,45
220243,2012-02-15,5,20,1,45
220260,2012-02-15,5,37,11,45
220343,2012-02-15,6,9,31,45
220379,2012-02-15,6,45,54,45
220450,2012-02-15,7,5,51,45
220452,2012-02-15,7,7,4,45
220468,2012-02-15,7,23,22,45
220561,2012-02-15,8,5,78,45
220579,2012-02-15,8,23,8,45
220672,2012-02-15,9,5,44,45
220709,2012-02-15,9,42,3,45
220712,2012-02-15,9,45,44,45
220783,2012-02-15,10,5,120,45
220799,2012-02-15,10,21,3,45
220815,2012-02-15,10,37,8,45
220898,2012-02-15,11,9,53,45
220957,2012-02-15,11,68,50,45
221016,2012-02-15,12,16,24,45
221037,2012-02-15,12,37,42,45
221079,2012-02-15,12,79,2,45
221086,2012-02-15,12,86,2,45
221093,2012-02-15,12,93,6,45
221116,2012-02-15,13,5,76,45
221147,2012-02-15,13,36,71,45
221231,2012-02-15,14,9,43,45
221247,2012-02-15,14,25,5,45
221255,2012-02-15,14,33,1,45
221338,2012-02-15,15,5,90,45
221378,2012-02-15,15,45,92,45
221460,2012-02-15,16,16,30,45
221469,2012-02-15,16,25,148,45
221564,2012-02-15,17,9,119,45
221592,2012-02-15,17,37,65,45
221603,2012-02-15,17,48,127,45
221671,2012-02-15,18,5,6,45
221703,2012-02-15,18,37,10,45
221793,2012-02-15,19,16,16,45
221846,2012-02-15,19,69,1,45
221860,2012-02-15,19,83,11,45
221893,2012-02-15,20,5,34,45
221906,2012-02-15,20,18,1,45
221929,2012-02-15,20,41,18,45
222004,2012-02-15,21,5,42,45
222043,2012-02-15,21,44,59,45
222119,2012-02-15,22,9,41,45
222178,2012-02-15,22,68,48,45
222203,2012-02-15,22,93,1,45
222226,2012-02-15,23,5,15,45
222266,2012-02-15,23,45,15,45
222338,2012-02-15,24,6,59,45
222375,2012-02-15,24,43,48,45
222408,2012-02-15,24,76,2,45
222452,2012-02-15,25,9,126,45
222455,2012-02-15,25,12,1,45
222488,2012-02-15,25,45,110,45
222524,2012-02-15,25,81,9,45
222559,2012-02-15,26,5,26,45
222599,2012-02-15,26,45,49,45
222674,2012-02-15,27,9,13,45
222733,2012-02-15,27,68,52,45
222745,2012-02-15,27,80,1,45
222758,2012-02-15,27,93,12,45
222781,2012-02-15,28,5,45,45
222821,2012-02-15,28,45,47,45
222895,2012-02-15,29,8,34,45
222928,2012-02-15,29,41,20,45
222932,2012-02-15,29,45,61,45
223014,2012-02-15,30,16,85,45
223042,2012-02-15,30,44,226,45
223118,2012-02-15,31,9,50,45
223154,2012-02-15,31,45,58,45
223176,2012-02-15,31,67,10,45
223229,2012-02-15,32,9,58,45
223265,2012-02-15,32,45,31,45
223271,2012-02-15,32,51,2,45
223278,2012-02-15,32,58,2,45
223340,2012-02-15,33,9,45,45
223375,2012-02-15,33,44,120,45
223416,2012-02-15,33,85,2,45
223451,2012-02-15,34,9,11,45
223487,2012-02-15,34,45,90,45
223562,2012-02-15,36,9,43,45
223597,2012-02-15,36,44,140,45
223669,2012-02-15,37,5,62,45
223709,2012-02-15,37,45,38,45
223717,2012-02-15,37,53,4,45
223784,2012-02-15,38,9,84,45
223820,2012-02-15,38,45,89,45
223827,2012-02-15,38,52,1,45
223895,2012-02-15,39,9,1,45
223922,2012-02-15,39,36,13,45
224002,2012-02-15,40,5,52,45
224042,2012-02-15,40,45,42,45
224124,2012-02-15,41,16,54,45
224169,2012-02-15,41,61,5,45
224176,2012-02-15,41,68,60,45
224224,2012-02-15,42,5,30,45
224264,2012-02-15,42,45,63,45
224346,2012-02-15,43,16,69,45
224367,2012-02-15,43,37,25,45
224446,2012-02-15,44,5,32,45
224509,2012-02-15,44,68,54,45
224535,2012-02-15,44,94,3,45
224561,2012-02-15,45,9,18,45
224578,2012-02-15,45,26,6,45
224672,2012-02-16,1,9,54,46
224691,2012-02-16,1,28,4,46
224714,2012-02-16,1,51,2,46
224756,2012-02-16,1,93,10,46
224779,2012-02-16,2,5,15,46
224818,2012-02-16,2,44,86,46
224890,2012-02-16,3,5,60,46
224930,2012-02-16,3,45,56,46
224978,2012-02-16,3,93,2,46
225005,2012-02-16,4,9,137,46
225023,2012-02-16,4,27,10,46
225086,2012-02-16,4,90,2,46
225123,2012-02-16,5,16,22,46
225139,2012-02-16,5,32,5,46
225144,2012-02-16,5,37,11,46
225200,2012-02-16,5,93,4,46
225227,2012-02-16,6,9,22,46
225263,2012-02-16,6,45,40,46
225334,2012-02-16,7,5,86,46
225352,2012-02-16,7,23,11,46
225445,2012-02-16,8,5,12,46
225463,2012-02-16,8,23,4,46
225499,2012-02-16,8,59,2,46
225533,2012-02-16,8,93,7,46
225556,2012-02-16,9,5,25,46
225561,2012-02-16,9,10,2,46
225593,2012-02-16,9,42,4,46
225596,2012-02-16,9,45,88,46
225667,2012-02-16,10,5,133,46
225699,2012-02-16,10,37,14,46
225782,2012-02-16,11,9,104,46
225841,2012-02-16,11,68,42,46
225859,2012-02-16,11,86,1,46
225900,2012-02-16,12,16,23,46
225921,2012-02-16,12,37,25,46
225977,2012-02-16,12,93,7,46
226000,2012-02-16,13,5,32,46
226031,2012-02-16,13,36,94,46
226041,2012-02-16,13,46,1,46
226115,2012-02-16,14,9,1,46
226131,2012-02-16,14,25,14,46
226139,2012-02-16,14,33,1,46
226222,2012-02-16,15,5,91,46
226262,2012-02-16,15,45,76,46
226278,2012-02-16,15,61,2,46
226344,2012-02-16,16,16,44,46
226353,2012-02-16,16,25,144,46
226448,2012-02-16,17,9,234,46
226476,2012-02-16,17,37,36,46
226487,2012-02-16,17,48,131,46
226555,2012-02-16,18,5,13,46
226587,2012-02-16,18,37,1,46
226677,2012-02-16,19,16,16,46
226730,2012-02-16,19,69,1,46
226744,2012-02-16,19,83,2,46
226777,2012-02-16,20,5,23,46
226790,2012-02-16,20,18,2,46
226813,2012-02-16,20,41,11,46
226888,2012-02-16,21,5,24,46
226927,2012-02-16,21,44,54,46
226974,2012-02-16,21,91,1,46
227003,2012-02-16,22,9,74,46
227062,2012-02-16,22,68,48,46
227087,2012-02-16,22,93,4,46
227110,2012-02-16,23,5,25,46
227134,2012-02-16,23,29,1,46
227150,2012-02-16,23,45,28,46
227222,2012-02-16,24,6,37,46
227259,2012-02-16,24,43,50,46
227292,2012-02-16,24,76,1,46
227336,2012-02-16,25,9,97,46
227372,2012-02-16,25,45,75,46
227408,2012-02-16,25,81,16,46
227443,2012-02-16,26,5,20,46
227483,2012-02-16,26,45,43,46
227558,2012-02-16,27,9,18,46
227570,2012-02-16,27,21,1,46
227617,2012-02-16,27,68,66,46
227642,2012-02-16,27,93,14,46
227665,2012-02-16,28,5,20,46
227705,2012-02-16,28,45,45,46
227779,2012-02-16,29,8,13,46
227812,2012-02-16,29,41,35,46
227816,2012-02-16,29,45,58,46
227898,2012-02-16,30,16,53,46
227926,2012-02-16,30,44,180,46
227947,2012-02-16,30,65,1,46
228002,2012-02-16,31,9,67,46
228038,2012-02-16,31,45,61,46
228060,2012-02-16,31,67,8,46
228113,2012-02-16,32,9,68,46
228149,2012-02-16,32,45,30,46
228224,2012-02-16,33,9,138,46
228259,2012-02-16,33,44,129,46
228335,2012-02-16,34,9,53,46
228357,2012-02-16,34,31,2,46
228371,2012-02-16,34,45,88,46
228446,2012-02-16,36,9,49,46
228481,2012-02-16,36,44,70,46
228553,2012-02-16,37,5,21,46
228593,2012-02-16,37,45,43,46
228668,2012-02-16,38,9,39,46
228704,2012-02-16,38,45,78,46
228711,2012-02-16,38,52,1,46
228779,2012-02-16,39,9,17,46
228806,2012-02-16,39,36,12,46
228886,2012-02-16,40,5,76,46
228926,2012-02-16,40,45,44,46
229008,2012-02-16,41,16,49,46
229060,2012-02-16,41,68,50,46
229078,2012-02-16,41,86,1,46
229108,2012-02-16,42,5,30,46
229148,2012-02-16,42,45,58,46
229185,2012-02-16,42,82,1,46
229230,2012-02-16,43,16,57,46
229251,2012-02-16,43,37,15,46
229307,2012-02-16,43,93,11,46
229330,2012-02-16,44,5,7,46
229387,2012-02-16,44,62,3,46
229393,2012-02-16,44,68,91,46
229418,2012-02-16,44,93,17,46
229419,2012-02-16,44,94,3,46
229445,2012-02-16,45,9,6,46
229462,2012-02-16,45,26,2,46
229556,2012-02-17,1,9,72,47
229575,2012-02-17,1,28,5,47
229663,2012-02-17,2,5,55,47
229702,2012-02-17,2,44,96,47
229774,2012-02-17,3,5,91,47
229814,2012-02-17,3,45,54,47
229862,2012-02-17,3,93,4,47
229889,2012-02-17,4,9,104,47
229907,2012-02-17,4,27,3,47
230007,2012-02-17,5,16,37,47
230011,2012-02-17,5,20,1,47
230028,2012-02-17,5,37,13,47
230084,2012-02-17,5,93,10,47
230111,2012-02-17,6,9,20,47
230147,2012-02-17,6,45,47,47
230218,2012-02-17,7,5,86,47
230220,2012-02-17,7,7,1,47
230236,2012-02-17,7,23,21,47
230306,2012-02-17,7,93,10,47
230329,2012-02-17,8,5,25,47
230347,2012-02-17,8,23,9,47
230383,2012-02-17,8,59,1,47
230440,2012-02-17,9,5,43,47
230477,2012-02-17,9,42,4,47
230480,2012-02-17,9,45,82,47
230528,2012-02-17,9,93,10,47
230551,2012-02-17,10,5,90,47
230567,2012-02-17,10,21,2,47
230583,2012-02-17,10,37,10,47
230639,2012-02-17,10,93,5,47
230666,2012-02-17,11,9,37,47
230725,2012-02-17,11,68,56,47
230743,2012-02-17,11,86,3,47
230784,2012-02-17,12,16,23,47
230805,2012-02-17,12,37,21,47
230854,2012-02-17,12,86,5,47
230861,2012-02-17,12,93,19,47
230884,2012-02-17,13,5,76,47
230915,2012-02-17,13,36,73,47
230925,2012-02-17,13,46,1,47
230972,2012-02-17,13,93,2,47
230999,2012-02-17,14,9,3,47
231015,2012-02-17,14,25,22,47
231023,2012-02-17,14,33,1,47
231106,2012-02-17,15,5,55,47
231146,2012-02-17,15,45,136,47
231162,2012-02-17,15,61,6,47
231228,2012-02-17,16,16,30,47
231237,2012-02-17,16,25,195,47
231297,2012-02-17,16,85,1,47
231332,2012-02-17,17,9,97,47
231360,2012-02-17,17,37,36,47
231371,2012-02-17,17,48,148,47
231394,2012-02-17,17,71,1,47
231439,2012-02-17,18,5,21,47
231471,2012-02-17,18,37,5,47
231561,2012-02-17,19,16,18,47
231614,2012-02-17,19,69,1,47
231628,2012-02-17,19,83,9,47
231638,2012-02-17,19,93,5,47
231661,2012-02-17,20,5,48,47
231674,2012-02-17,20,18,1,47
231697,2012-02-17,20,41,14,47
231749,2012-02-17,20,93,4,47
231772,2012-02-17,21,5,39,47
231811,2012-02-17,21,44,56,47
231887,2012-02-17,22,9,96,47
231946,2012-02-17,22,68,52,47
231971,2012-02-17,22,93,8,47
231994,2012-02-17,23,5,26,47
232018,2012-02-17,23,29,2,47
232034,2012-02-17,23,45,30,47
232106,2012-02-17,24,6,130,47
232143,2012-02-17,24,43,65,47
232160,2012-02-17,24,60,4,47
232176,2012-02-17,24,76,2,47
232220,2012-02-17,25,9,166,47
232256,2012-02-17,25,45,88,47
232292,2012-02-17,25,81,16,47
232327,2012-02-17,26,5,38,47
232367,2012-02-17,26,45,27,47
232442,2012-02-17,27,9,28,47
232454,2012-02-17,27,21,1,47
232501,2012-02-17,27,68,66,47
232526,2012-02-17,27,93,17,47
232549,2012-02-17,28,5,34,47
232589,2012-02-17,28,45,46,47
232663,2012-02-17,29,8,32,47
232696,2012-02-17,29,41,20,47
232700,2012-02-17,29,45,61,47
232711,2012-02-17,29,56,5,47
232782,2012-02-17,30,16,48,47
232810,2012-02-17,30,44,219,47
232831,2012-02-17,30,65,1,47
232886,2012-02-17,31,9,52,47
232922,2012-02-17,31,45,92,47
232944,2012-02-17,31,67,18,47
232997,2012-02-17,32,9,61,47
233007,2012-02-17,32,19,1,47
233033,2012-02-17,32,45,60,47
233039,2012-02-17,32,51,3,47
233046,2012-02-17,32,58,12,47
233108,2012-02-17,33,9,98,47
233143,2012-02-17,33,44,161,47
233219,2012-02-17,34,9,21,47
233241,2012-02-17,34,31,1,47
233255,2012-02-17,34,45,103,47
233303,2012-02-17,34,93,10,47
233330,2012-02-17,36,9,46,47
233365,2012-02-17,36,44,67,47
233437,2012-02-17,37,5,46,47
233477,2012-02-17,37,45,62,47
233485,2012-02-17,37,53,1,47
233552,2012-02-17,38,9,77,47
233588,2012-02-17,38,45,83,47
233636,2012-02-17,38,93,14,47
233663,2012-02-17,39,9,1,47
233690,2012-02-17,39,36,8,47
233770,2012-02-17,40,5,40,47
233810,2012-02-17,40,45,68,47
233816,2012-02-17,40,51,3,47
233820,2012-02-17,40,55,5,47
233892,2012-02-17,41,16,48,47
233937,2012-02-17,41,61,2,47
233944,2012-02-17,41,68,80,47
233969,2012-02-17,41,93,3,47
233992,2012-02-17,42,5,49,47
234032,2012-02-17,42,45,49,47
234114,2012-02-17,43,16,55,47
234135,2012-02-17,43,37,29,47
234171,2012-02-17,43,73,2,47
234191,2012-02-17,43,93,3,47
234214,2012-02-17,44,5,15,47
234277,2012-02-17,44,68,43,47
234302,2012-02-17,44,93,2,47
234329,2012-02-17,45,9,1,47
234346,2012-02-17,45,26,5,47
234440,2012-02-18,1,9,31,48
234459,2012-02-18,1,28,6,48
234524,2012-02-18,1,93,1,48
234547,2012-02-18,2,5,75,48
234586,2012-02-18,2,44,138,48
234627,2012-02-18,2,85,1,48
234658,2012-02-18,3,5,81,48
234698,2012-02-18,3,45,84,48
234773,2012-02-18,4,9,171,48
234791,2012-02-18,4,27,7,48
234854,2012-02-18,4,90,2,48
234891,2012-02-18,5,16,33,48
234907,2012-02-18,5,32,1,48
234912,2012-02-18,5,37,16,48
234968,2012-02-18,5,93,5,48
234995,2012-02-18,6,9,35,48
235031,2012-02-18,6,45,77,48
235102,2012-02-18,7,5,79,48
235104,2012-02-18,7,7,2,48
235120,2012-02-18,7,23,24,48
235190,2012-02-18,7,93,10,48
235213,2012-02-18,8,5,45,48
235231,2012-02-18,8,23,10,48
235301,2012-02-18,8,93,3,48
235324,2012-02-18,9,5,81,48
235361,2012-02-18,9,42,13,48
235364,2012-02-18,9,45,85,48
235435,2012-02-18,10,5,103,48
235467,2012-02-18,10,37,22,48
235550,2012-02-18,11,9,53,48
235602,2012-02-18,11,61,3,48
235609,2012-02-18,11,68,62,48
235668,2012-02-18,12,16,37,48
235689,2012-02-18,12,37,37,48
235745,2012-02-18,12,93,2,48
235768,2012-02-18,13,5,69,48
235799,2012-02-18,13,36,93,48
235856,2012-02-18,13,93,7,48
235883,2012-02-18,14,9,34,48
235899,2012-02-18,14,25,20,48
235990,2012-02-18,15,5,57,48
236030,2012-02-18,15,45,134,48
236112,2012-02-18,16,16,55,48
236121,2012-02-18,16,25,179,48
236216,2012-02-18,17,9,162,48
236244,2012-02-18,17,37,41,48
236255,2012-02-18,17,48,165,48
236323,2012-02-18,18,5,19,48
236355,2012-02-18,18,37,9,48
236445,2012-02-18,19,16,24,48
236498,2012-02-18,19,69,3,48
236512,2012-02-18,19,83,19,48
236545,2012-02-18,20,5,128,48
236558,2012-02-18,20,18,1,48
236581,2012-02-18,20,41,30,48
236633,2012-02-18,20,93,2,48
236656,2012-02-18,21,5,24,48
236695,2012-02-18,21,44,70,48
236771,2012-02-18,22,9,95,48
236830,2012-02-18,22,68,53,48
236878,2012-02-18,23,5,22,48
236902,2012-02-18,23,29,1,48
236918,2012-02-18,23,45,35,48
236929,2012-02-18,23,56,2,48
236990,2012-02-18,24,6,97,48
237027,2012-02-18,24,43,62,48
237104,2012-02-18,25,9,152,48
237107,2012-02-18,25,12,1,48
237140,2012-02-18,25,45,106,48
237176,2012-02-18,25,81,15,48
237211,2012-02-18,26,5,74,48
237251,2012-02-18,26,45,59,48
237326,2012-02-18,27,9,62,48
237338,2012-02-18,27,21,2,48
237385,2012-02-18,27,68,67,48
237410,2012-02-18,27,93,13,48
237433,2012-02-18,28,5,25,48
237463,2012-02-18,28,35,2,48
237473,2012-02-18,28,45,49,48
237547,2012-02-18,29,8,42,48
237580,2012-02-18,29,41,28,48
237584,2012-02-18,29,45,91,48
237595,2012-02-18,29,56,1,48
237666,2012-02-18,30,16,32,48
237694,2012-02-18,30,44,172,48
237715,2012-02-18,30,65,3,48
237770,2012-02-18,31,9,79,48
237806,2012-02-18,31,45,78,48
237828,2012-02-18,31,67,10,48
237881,2012-02-18,32,9,140,48
237891,2012-02-18,32,19,2,48
237917,2012-02-18,32,45,49,48
237923,2012-02-18,32,51,1,48
237930,2012-02-18,32,58,1,48
237992,2012-02-18,33,9,182,48
238027,2012-02-18,33,44,180,48
238103,2012-02-18,34,9,78,48
238125,2012-02-18,34,31,4,48
238139,2012-02-18,34,45,129,48
238146,2012-02-18,34,52,1,48
238187,2012-02-18,34,93,1,48
238214,2012-02-18,36,9,66,48
238249,2012-02-18,36,44,65,48
238321,2012-02-18,37,5,95,48
238361,2012-02-18,37,45,80,48
238436,2012-02-18,38,9,126,48
238472,2012-02-18,38,45,100,48
238479,2012-02-18,38,52,1,48
238520,2012-02-18,38,93,9,48
238547,2012-02-18,39,9,6,48
238574,2012-02-18,39,36,9,48
238654,2012-02-18,40,5,33,48
238694,2012-02-18,40,45,85,48
238704,2012-02-18,40,55,2,48
238776,2012-02-18,41,16,58,48
238821,2012-02-18,41,61,5,48
238828,2012-02-18,41,68,65,48
238853,2012-02-18,41,93,2,48
238876,2012-02-18,42,5,32,48
238916,2012-02-18,42,45,73,48
238953,2012-02-18,42,82,1,48
238998,2012-02-18,43,16,51,48
239019,2012-02-18,43,37,32,48
239055,2012-02-18,43,73,2,48
239075,2012-02-18,43,93,1,48
239098,2012-02-18,44,5,45,48
239155,2012-02-18,44,62,1,48
239161,2012-02-18,44,68,63,48
239186,2012-02-18,44,93,5,48
239187,2012-02-18,44,94,1,48
239213,2012-02-18,45,9,29,48
239230,2012-02-18,45,26,4,48
239324,2012-02-19,1,9,43,49
239343,2012-02-19,1,28,10,49
239431,2012-02-19,2,5,111,49
239437,2012-02-19,2,11,1,49
239470,2012-02-19,2,44,143,49
239511,2012-02-19,2,85,2,49
239519,2012-02-19,2,93,1,49
239542,2012-02-19,3,5,90,49
239582,2012-02-19,3,45,102,49
239657,2012-02-19,4,9,173,49
239675,2012-02-19,4,27,13,49
239775,2012-02-19,5,16,35,49
239779,2012-02-19,5,20,2,49
239796,2012-02-19,5,37,17,49
239879,2012-02-19,6,9,30,49
239915,2012-02-19,6,45,74,49
239986,2012-02-19,7,5,139,49
239988,2012-02-19,7,7,4,49
240004,2012-02-19,7,23,30,49
240097,2012-02-19,8,5,38,49
240115,2012-02-19,8,23,11,49
240208,2012-02-19,9,5,69,49
240213,2012-02-19,9,10,1,49
240245,2012-02-19,9,42,12,49
240248,2012-02-19,9,45,100,49
240319,2012-02-19,10,5,31,49
240351,2012-02-19,10,37,18,49
240407,2012-02-19,10,93,5,49
240434,2012-02-19,11,9,60,49
240493,2012-02-19,11,68,64,49
240511,2012-02-19,11,86,1,49
240552,2012-02-19,12,16,26,49
240573,2012-02-19,12,37,31,49
240629,2012-02-19,12,93,2,49
240652,2012-02-19,13,5,90,49
240683,2012-02-19,13,36,109,49
240767,2012-02-19,14,9,37,49
240783,2012-02-19,14,25,13,49
240874,2012-02-19,15,5,118,49
240914,2012-02-19,15,45,178,49
240930,2012-02-19,15,61,2,49
240996,2012-02-19,16,16,62,49
241005,2012-02-19,16,25,229,49
241100,2012-02-19,17,9,186,49
241128,2012-02-19,17,37,70,49
241139,2012-02-19,17,48,150,49
241162,2012-02-19,17,71,2,49
241207,2012-02-19,18,5,19,49
241239,2012-02-19,18,37,17,49
241274,2012-02-19,18,72,1,49
241329,2012-02-19,19,16,18,49
241382,2012-02-19,19,69,1,49
241396,2012-02-19,19,83,13,49
241429,2012-02-19,20,5,176,49
241442,2012-02-19,20,18,2,49
241465,2012-02-19,20,41,15,49
241540,2012-02-19,21,5,30,49
241579,2012-02-19,21,44,84,49
241655,2012-02-19,22,9,108,49
241714,2012-02-19,22,68,59,49
241739,2012-02-19,22,93,3,49
241762,2012-02-19,23,5,63,49
241802,2012-02-19,23,45,41,49
241874,2012-02-19,24,6,44,49
241911,2012-02-19,24,43,82,49
241944,2012-02-19,24,76,4,49
241988,2012-02-19,25,9,128,49
241991,2012-02-19,25,12,1,49
242024,2012-02-19,25,45,123,49
242060,2012-02-19,25,81,17,49
242095,2012-02-19,26,5,54,49
242135,2012-02-19,26,45,44,49
242210,2012-02-19,27,9,24,49
242222,2012-02-19,27,21,1,49
242269,2012-02-19,27,68,72,49
242281,2012-02-19,27,80,3,49
242294,2012-02-19,27,93,1,49
242317,2012-02-19,28,5,23,49
242347,2012-02-19,28,35,2,49
242357,2012-02-19,28,45,44,49
242431,2012-02-19,29,8,41,49
242464,2012-02-19,29,41,23,49
242468,2012-02-19,29,45,76,49
242550,2012-02-19,30,16,36,49
242578,2012-02-19,30,44,251,49
242599,2012-02-19,30,65,1,49
242654,2012-02-19,31,9,79,49
242690,2012-02-19,31,45,94,49
242712,2012-02-19,31,67,15,49
242738,2012-02-19,31,93,5,49
242765,2012-02-19,32,9,75,49
242775,2012-02-19,32,19,1,49
242801,2012-02-19,32,45,49,49
242807,2012-02-19,32,51,1,49
242814,2012-02-19,32,58,5,49
242876,2012-02-19,33,9,123,49
242911,2012-02-19,33,44,224,49
242952,2012-02-19,33,85,1,49
242987,2012-02-19,34,9,57,49
243009,2012-02-19,34,31,1,49
243023,2012-02-19,34,45,106,49
243030,2012-02-19,34,52,3,49
243098,2012-02-19,36,9,79,49
243119,2012-02-19,36,30,5,49
243133,2012-02-19,36,44,86,49
243205,2012-02-19,37,5,76,49
243245,2012-02-19,37,45,66,49
243253,2012-02-19,37,53,6,49
243320,2012-02-19,38,9,125,49
243356,2012-02-19,38,45,116,49
243431,2012-02-19,39,9,5,49
243458,2012-02-19,39,36,9,49
243538,2012-02-19,40,5,136,49
243578,2012-02-19,40,45,102,49
243584,2012-02-19,40,51,1,49
243588,2012-02-19,40,55,3,49
243660,2012-02-19,41,16,45,49
243705,2012-02-19,41,61,2,49
243712,2012-02-19,41,68,83,49
243760,2012-02-19,42,5,25,49
243800,2012-02-19,42,45,86,49
243837,2012-02-19,42,82,1,49
243882,2012-02-19,43,16,63,49
243903,2012-02-19,43,37,27,49
243982,2012-02-19,44,5,34,49
244039,2012-02-19,44,62,2,49
244045,2012-02-19,44,68,67,49
244070,2012-02-19,44,93,1,49
244071,2012-02-19,44,94,1,49
244097,2012-02-19,45,9,20,49
244114,2012-02-19,45,26,8,49
244122,2012-02-19,45,34,1,49
244208,2012-02-20,1,9,27,50
244227,2012-02-20,1,28,5,50
244239,2012-02-20,1,40,1,50
244315,2012-02-20,2,5,64,50
244321,2012-02-20,2,11,1,50
244354,2012-02-20,2,44,103,50
244426,2012-02-20,3,5,98,50
244466,2012-02-20,3,45,52,50
244514,2012-02-20,3,93,2,50
244541,2012-02-20,4,9,156,50
244559,2012-02-20,4,27,5,50
244622,2012-02-20,4,90,1,50
244659,2012-02-20,5,16,46,50
244680,2012-02-20,5,37,9,50
244736,2012-02-20,5,93,2,50
244763,2012-02-20,6,9,40,50
244799,2012-02-20,6,45,65,50
244870,2012-02-20,7,5,74,50
244888,2012-02-20,7,23,15,50
244981,2012-02-20,8,5,37,50
244999,2012-02-20,8,23,10,50
245035,2012-02-20,8,59,2,50
245092,2012-02-20,9,5,49,50
245097,2012-02-20,9,10,2,50
245129,2012-02-20,9,42,7,50
245132,2012-02-20,9,45,62,50
245203,2012-02-20,10,5,21,50
245235,2012-02-20,10,37,16,50
245318,2012-02-20,11,9,71,50
245370,2012-02-20,11,61,2,50
245377,2012-02-20,11,68,54,50
245436,2012-02-20,12,16,31,50
245457,2012-02-20,12,37,21,50
245499,2012-02-20,12,79,2,50
245536,2012-02-20,13,5,83,50
245567,2012-02-20,13,36,82,50
245577,2012-02-20,13,46,3,50
245651,2012-02-20,14,9,10,50
245667,2012-02-20,14,25,23,50
245735,2012-02-20,14,93,4,50
245758,2012-02-20,15,5,78,50
245798,2012-02-20,15,45,100,50
245846,2012-02-20,15,93,2,50
245880,2012-02-20,16,16,54,50
245889,2012-02-20,16,25,196,50
245984,2012-02-20,17,9,96,50
246012,2012-02-20,17,37,45,50
246023,2012-02-20,17,48,132,50
246046,2012-02-20,17,71,2,50
246091,2012-02-20,18,5,28,50
246123,2012-02-20,18,37,8,50
246158,2012-02-20,18,72,1,50
246213,2012-02-20,19,16,34,50
246280,2012-02-20,19,83,7,50
246313,2012-02-20,20,5,88,50
246326,2012-02-20,20,18,1,50
246349,2012-02-20,20,41,25,50
246424,2012-02-20,21,5,41,50
246463,2012-02-20,21,44,70,50
246510,2012-02-20,21,91,2,50
246539,2012-02-20,22,9,68,50
246598,2012-02-20,22,68,51,50
246623,2012-02-20,22,93,2,50
246646,2012-02-20,23,5,56,50
246686,2012-02-20,23,45,47,50
246758,2012-02-20,24,6,23,50
246795,2012-02-20,24,43,57,50
246812,2012-02-20,24,60,1,50
246828,2012-02-20,24,76,1,50
246872,2012-02-20,25,9,115,50
246875,2012-02-20,25,12,2,50
246908,2012-02-20,25,45,118,50
246944,2012-02-20,25,81,12,50
246979,2012-02-20,26,5,96,50
247019,2012-02-20,26,45,51,50
247094,2012-02-20,27,9,24,50
247106,2012-02-20,27,21,3,50
247153,2012-02-20,27,68,62,50
247201,2012-02-20,28,5,43,50
247241,2012-02-20,28,45,58,50
247315,2012-02-20,29,8,52,50
247348,2012-02-20,29,41,29,50
247352,2012-02-20,29,45,70,50
247363,2012-02-20,29,56,2,50
247434,2012-02-20,30,16,25,50
247462,2012-02-20,30,44,212,50
247483,2012-02-20,30,65,1,50
247538,2012-02-20,31,9,53,50
247574,2012-02-20,31,45,61,50
247596,2012-02-20,31,67,8,50
247649,2012-02-20,32,9,33,50
247685,2012-02-20,32,45,53,50
247691,2012-02-20,32,51,2,50
247698,2012-02-20,32,58,1,50
247760,2012-02-20,33,9,192,50
247795,2012-02-20,33,44,175,50
247836,2012-02-20,33,85,1,50
247871,2012-02-20,34,9,22,50
247907,2012-02-20,34,45,88,50
247914,2012-02-20,34,52,1,50
247982,2012-02-20,36,9,69,50
248003,2012-02-20,36,30,2,50
248017,2012-02-20,36,44,86,50
248089,2012-02-20,37,5,45,50
248129,2012-02-20,37,45,50,50
248137,2012-02-20,37,53,2,50
248204,2012-02-20,38,9,122,50
248240,2012-02-20,38,45,83,50
248247,2012-02-20,38,52,1,50
248315,2012-02-20,39,9,11,50
248342,2012-02-20,39,36,4,50
248422,2012-02-20,40,5,70,50
248462,2012-02-20,40,45,66,50
248472,2012-02-20,40,55,2,50
248544,2012-02-20,41,16,49,50
248589,2012-02-20,41,61,1,50
248596,2012-02-20,41,68,87,50
248644,2012-02-20,42,5,80,50
248684,2012-02-20,42,45,77,50
248766,2012-02-20,43,16,58,50
248787,2012-02-20,43,37,32,50
248866,2012-02-20,44,5,29,50
248929,2012-02-20,44,68,56,50
248955,2012-02-20,44,94,1,50
248981,2012-02-20,45,9,6,50
248998,2012-02-20,45,26,2,50
249092,2012-02-21,1,9,28,51
249111,2012-02-21,1,28,6,51
